iter	Passed	Remaining
0	140	27927
1	143	14225
2	146	9646
3	150	7359
4	153	5991
5	156	5072
6	160	4417
7	163	3924
8	166	3541
9	170	3235
10	173	2983
11	176	2771
12	180	2590
13	183	2436
14	186	2302
15	189	2183
16	193	2077
17	196	1983
18	199	1901
19	202	1825
20	206	1756
21	209	1693
22	212	1636
23	215	1583
24	219	1534
25	222	1489
26	225	1446
27	228	1406
28	232	1369
29	235	1334
30	238	1301
31	241	1269
32	245	1240
33	248	1212
34	251	1185
35	254	1159
36	257	1135
37	261	1114
38	265	1094
39	268	1073
40	271	1054
41	275	1035
42	278	1017
43	281	999
44	285	982
45	288	966
46	292	951
47	295	936
48	298	921
49	302	907
50	305	893
51	309	880
52	312	867
53	316	856
54	320	844
55	323	832
56	327	820
57	330	808
58	333	797
59	337	786
60	340	775
61	344	765
62	347	756
63	351	746
64	354	737
65	358	728
66	362	719
67	366	710
68	369	701
69	373	692
70	376	683
71	380	675
72	383	667
73	387	658
74	390	651
75	394	643
76	398	636
77	401	627
78	405	620
79	409	613
80	413	606
81	416	599
82	420	592
83	423	585
84	427	578
85	431	571
86	434	564
87	438	558
88	442	551
89	445	544
90	449	538
91	452	531
92	456	524
93	459	518
94	463	512
95	466	505
96	470	499
97	474	493
98	477	487
99	481	481
100	485	475
101	488	469
102	491	463
103	495	457
104	498	451
105	502	445
106	506	439
107	509	433
108	513	428
109	516	422
110	519	416
111	523	411
112	526	405
113	530	400
114	533	394
115	537	388
116	540	383
117	544	378
118	547	372
119	551	367
120	554	362
121	558	357
122	562	351
123	565	346
124	569	341
125	572	336
126	576	331
127	579	325
128	582	320
129	586	315
130	589	310
131	593	305
132	596	300
133	600	295
134	603	290
135	607	285
136	610	280
137	614	275
138	617	270
139	621	266
140	624	261
141	627	256
142	631	251
143	634	246
144	638	242
145	641	237
146	644	232
147	648	227
148	652	223
149	655	218
150	658	213
151	662	209
152	665	204
153	669	199
154	672	195
155	676	190
156	679	186
157	683	181
158	686	177
159	689	172
160	693	167
161	696	163
162	699	158
163	703	154
164	706	149
165	710	145
166	713	141
167	717	136
168	720	132
169	723	127
170	727	123
171	730	118
172	734	114
173	737	110
174	740	105
175	744	101
176	748	97
177	751	92
178	754	88
179	758	84
180	761	79
181	765	75
182	769	71
183	772	67
184	776	62
185	779	58
186	783	54
187	786	50
188	790	45
189	793	41
190	796	37
191	800	33
192	803	29
193	807	24
194	810	20
195	813	16
196	817	12
197	820	8
198	824	4
199	828	0
