node,degree,betweenness,closeness,pagerank
0,0.4848,0.4376,0.569,0.0885
1,0.2727,0.0539,0.4853,0.0574
2,0.303,0.1437,0.5593,0.0628
3,0.1818,0.0119,0.4648,0.0372
4,0.0909,0.0006,0.3793,0.0205
5,0.1212,0.03,0.3837,0.0338
6,0.1212,0.03,0.3837,0.0315
7,0.1212,0.0,0.44,0.0265
8,0.1515,0.0559,0.5156,0.0334
9,0.0606,0.0008,0.4342,0.0095
10,0.0909,0.0006,0.3793,0.0207
11,0.0303,0.0,0.3667,0.0098
12,0.0606,0.0,0.3708,0.0115
13,0.1515,0.0459,0.5156,0.0335
14,0.0606,0.0,0.3708,0.0129
15,0.0606,0.0,0.3708,0.0164
16,0.0606,0.0,0.2845,0.0168
17,0.0606,0.0,0.375,0.0097
18,0.0606,0.0,0.3708,0.0095
19,0.0909,0.0325,0.5,0.0131
20,0.0606,0.0,0.3708,0.0112
21,0.0606,0.0,0.375,0.0114
22,0.0606,0.0,0.3708,0.013
23,0.1515,0.0176,0.3929,0.0411
24,0.0909,0.0022,0.375,0.0166
25,0.0909,0.0038,0.375,0.0287
26,0.0606,0.0,0.3626,0.0152
27,0.1212,0.0223,0.4583,0.0272
28,0.0909,0.0018,0.4521,0.0145
29,0.1212,0.0029,0.3837,0.0283
30,0.1212,0.0144,0.4583,0.023
31,0.1818,0.1383,0.541,0.042
32,0.3636,0.1452,0.5156,0.0759
33,0.5152,0.3041,0.55,0.097
